Samples	SBS1	SBS5	SBS7a	SBS7b	SBS7d	SBS17a	SBS17b
DNA03979_S16.1	0	0	2	0	0	0	0
DNA03981_S18.1	1	4	0	0	0	0	0
DNA03982_S33.1	12	65	0	0	0	0	0
DNA03983_S34.1	25	170	0	0	0	14	34
DNA03984_S19.1	4	0	4	0	0	0	0
DNA03985_S35.1	5	125	0	0	0	93	135
DNA03986_S36.1	10	127	0	0	0	55	112
DNA03987_S20.1	0	6	0	0	0	0	0
DNA03988_S21.1	0	12	0	0	0	0	0
DNA03989_S37.1	4	344	0	0	0	0	0
DNA03990_S38.1	16	121	0	0	0	32	35
DNA03991_S39.1	5	181	0	0	0	18	9
DNA03992_S40.1	10	120	0	0	0	29	49
DNA03993_S22.1	1	2	0	0	0	0	0
DNA03994_S41.1	6	73	0	0	0	9	14
DNA03995_S23.1	3	1	1	0	0	0	0
DNA03996_S24.1	0	6	0	0	0	0	0
DNA03997_S25.1	1	0	6	0	0	0	0
DNA03998_S26.1	0	3	0	0	0	0	0
DNA03999_S42.1	9	118	309	409	42	0	0
DNA04000_S43.1	2	40	0	0	0	0	0
DNA04001_S27.1	2	5	0	0	0	0	0
DNA04002_S28.1	1	4	0	0	0	0	0
DNA04003_S29.1	1	2	0	0	0	0	0
